model,accuracy,accuracy (train),f1_score,f1_score (train),precision,recall,auc,auc (train),training_time,CrossValidation,paramGrid,best_params,num_best_features,seed,num_params
DecisionTreeClassifier,0.7419354838709677,0.8957055214723927,0.7372127345561882,0.9024565333604868,0.7341339410939691,0.7419354838709677,0.6704545454545455,0.9341085271317829,6.953513145446777,True,[],{},20,42,1.0
RandomForestClassifier,0.7419354838709677,0.9754601226993865,0.677534356851245,0.9748805788413806,0.7438820912124583,0.7419354838709677,0.571969696969697,0.9411764705882353,7.747156620025635,True,[],{},24,42,1.0
LogisticRegression,0.8064516129032258,0.8773006134969326,0.8064516129032258,0.8817952857604133,0.8064516129032258,0.8064516129032258,0.765151515151515,0.8575011399908801,13.639296770095825,True,[],{},24,42,1.0
GBTClassifier,0.7580645161290323,1.0,0.7510553962166865,1.0,0.7479752916952642,0.7580645161290323,0.6818181818181818,1.0,44.92576766014099,True,[],{},24,42,1.0
LinearSVC,0.7419354838709677,0.8773006134969326,0.7419354838709677,0.8817952857604133,0.7419354838709677,0.7419354838709677,0.6868686868686869,0.8575011399908801,40.02767252922058,True,[],{},24,42,1.0
DecisionTreeClassifier,0.7419354838709677,0.901840490797546,0.7372127345561882,0.9079440730305204,0.7341339410939691,0.7419354838709677,0.6704545454545455,0.937984496124031,6.5832743644714355,True,[],{},24,42,1.0
RandomForestClassifier,0.7258064516129032,1.0,0.6659630899976392,1.0,0.697113752122241,0.7258064516129031,0.5606060606060607,1.0,8.145642518997192,True,[],{},28,42,1.0
LogisticRegression,0.8387096774193549,0.8957055214723927,0.8357579590976176,0.8999158133610052,0.8348527349228612,0.8387096774193548,0.7878787878787877,0.8907888736890105,15.754461765289307,True,[],{},28,42,1.0
GBTClassifier,0.7580645161290323,1.0,0.7450572320499479,1.0,0.7435053425836836,0.7580645161290323,0.6654040404040404,1.0,44.30209922790527,True,[],{},28,42,1.0
LinearSVC,0.7741935483870968,0.901840490797546,0.7741935483870968,0.904651364774064,0.7741935483870968,0.7741935483870968,0.7260101010101011,0.8838349293205654,41.922255516052246,True,[],{},28,42,1.0
DecisionTreeClassifier,0.7741935483870968,0.9386503067484663,0.7588194921070694,0.9398713964435428,0.7612903225806451,0.7741935483870968,0.6767676767676768,0.92875056999544,6.655960559844971,True,[],{},28,42,1.0
