model,accuracy,accuracy (train),f1_score,f1_score (train),precision,recall,auc,auc (train),training_time,CrossValidation,paramGrid,best_params,num_best_features,seed,num_params
DecisionTreeClassifier,0.8387096774193549,0.9325153374233128,0.822388632872504,0.9295345734839529,0.8481389578163772,0.8387096774193549,0.7386363636363636,0.8598951208390332,6.049747943878174,True,[],{},12,42,1.0
RandomForestClassifier,0.7419354838709677,0.9263803680981595,0.6585607940446649,0.9201285422144319,0.810752688172043,0.7419354838709677,0.5555555555555556,0.8235294117647058,8.270617961883545,True,[],{},16,42,1.0
LogisticRegression,0.7741935483870968,0.8711656441717791,0.7422899680964198,0.863510660546107,0.7697132616487455,0.7741935483870968,0.6439393939393939,0.756155950752394,12.435208797454834,True,[],{},16,42,1.0
GBTClassifier,0.7580645161290323,1.0,0.7182795698924731,1.0,0.7493087557603687,0.7580645161290323,0.6161616161616161,1.0,46.05939793586731,True,[],{},16,42,1.0
LinearSVC,0.7741935483870968,0.8711656441717791,0.7422899680964198,0.863510660546107,0.7697132616487455,0.7741935483870968,0.6439393939393939,0.756155950752394,58.759186029434204,True,[],{},16,42,1.0
DecisionTreeClassifier,0.7580645161290323,0.950920245398773,0.7182795698924731,0.9497611576827611,0.7493087557603687,0.7580645161290323,0.6161616161616161,0.9040127678978568,6.07807183265686,True,[],{},16,42,1.0
RandomForestClassifier,0.7580645161290323,0.9386503067484663,0.6892756476220303,0.9345061239181709,0.8195735374521596,0.7580645161290323,0.5833333333333334,0.8529411764705883,8.358418464660645,True,[],{},20,42,1.0
LogisticRegression,0.8387096774193549,0.8773006134969326,0.8277282086479067,0.8709657579531651,0.8380645161290323,0.8387096774193548,0.7550505050505051,0.7708618331053352,12.499491453170776,True,[],{},20,42,1.0
GBTClassifier,0.7580645161290323,1.0,0.7182795698924731,1.0,0.7493087557603687,0.7580645161290323,0.6161616161616161,1.0,42.822556495666504,True,[],{},20,42,1.0
LinearSVC,0.8064516129032258,0.8895705521472392,0.793273850377488,0.8838691821578486,0.7996774193548387,0.8064516129032258,0.715909090909091,0.7894436844505244,46.389901638031006,True,[],{},20,42,1.0
DecisionTreeClassifier,0.7580645161290323,0.950920245398773,0.7182795698924731,0.9497611576827611,0.7493087557603687,0.7580645161290323,0.6161616161616161,0.9040127678978568,6.3026745319366455,True,[],{},20,42,1.0
RandomForestClassifier,0.7258064516129032,0.9447852760736196,0.6253375373918668,0.9415045688054744,0.802221047065045,0.7258064516129032,0.5277777777777778,0.8676470588235294,8.55723524093628,True,[],{},24,42,1.0
LogisticRegression,0.7741935483870968,0.8957055214723927,0.7513440860215054,0.8910988862933816,0.7627791563275435,0.7741935483870968,0.6603535353535355,0.8041495668034656,15.194222450256348,True,[],{},24,42,1.0
GBTClassifier,0.7580645161290323,1.0,0.7182795698924731,1.0,0.7493087557603687,0.7580645161290323,0.6161616161616161,1.0,44.90284204483032,True,[],{},24,42,1.0
LinearSVC,0.7580645161290323,0.9079754601226994,0.7377788185703413,0.9051984506508756,0.7413604738082915,0.7580645161290323,0.6489898989898989,0.833561331509348,44.338812828063965,True,[],{},24,42,1.0
DecisionTreeClassifier,0.6774193548387096,0.950920245398773,0.6554564172958133,0.9503653810402276,0.6461290322580645,0.6774193548387097,0.5593434343434343,0.91484268125855,6.357978582382202,True,[],{},24,42,1.0
RandomForestClassifier,0.7419354838709677,0.9325153374233128,0.6585607940446649,0.927383457389111,0.810752688172043,0.7419354838709677,0.5555555555555556,0.8382352941176471,8.326907873153687,True,[],{},28,42,1.0
LogisticRegression,0.8225806451612904,0.8957055214723927,0.8077044669515836,0.8895086299658961,0.8219768845954805,0.8225806451612903,0.7272727272727273,0.7933196534427723,15.767166137695312,True,[],{},28,42,1.0
GBTClassifier,0.6774193548387096,1.0,0.6642706872370266,1.0,0.6566820276497696,0.6774193548387097,0.5757575757575757,1.0,45.54512286186218,True,[],{},28,42,1.0
LinearSVC,0.7419354838709677,0.9141104294478528,0.7243651338366507,0.9109305003328356,0.7229032258064516,0.7419354838709677,0.6376262626262625,0.837437300501596,43.83904314041138,True,[],{},28,42,1.0
DecisionTreeClassifier,0.7096774193548387,0.9447852760736196,0.689910775566232,0.9431190703905252,0.684516129032258,0.7096774193548387,0.5984848484848484,0.8893068855449155,6.875565052032471,True,[],{},28,42,1.0
