model,accuracy,accuracy (train),f1_score,f1_score (train),precision,recall,auc,auc (train),training_time,CrossValidation,paramGrid,best_params,num_best_features,seed,num_params
RandomForestClassifier,0.8225806451612904,0.9754601226993865,0.8077044669515836,0.9748805788413806,0.8219768845954805,0.8225806451612903,0.7272727272727273,0.9411764705882353,67.7080659866333,True,"['maxDepth : [5, 10, 15]', 'numTrees : [20, 50, 100]']","{'maxDepth': 5, 'numTrees': 50}",16,42,9.0
LinearSVC,0.8064516129032258,0.8711656441717791,0.802909550917141,0.8743047128881525,0.8012798036465637,0.8064516129032258,0.7487373737373737,0.8319653442772458,164.98104548454285,True,"['regParam : [0.0, 0.05, 0.1, 0.2]']",{'regParam': 0.1},20,42,4.0
RandomForestClassifier,0.8225806451612904,0.9631901840490797,0.8012415475002771,0.9623208682620709,0.8338405356055996,0.8225806451612904,0.7108585858585859,0.9225946192430461,69.06460213661194,True,"['maxDepth : [5, 10, 15]', 'numTrees : [20, 50, 100]']","{'maxDepth': 5, 'numTrees': 20}",20,42,9.0
RandomForestClassifier,0.8064516129032258,0.9325153374233128,0.793273850377488,0.9328730635994935,0.7996774193548387,0.8064516129032258,0.715909090909091,0.9032147742818059,64.90468215942383,True,"['maxDepth : [5, 10, 15]', 'numTrees : [20, 50, 100]']","{'maxDepth': 5, 'numTrees': 100}",4,42,9.0
GBTClassifier,0.8064516129032258,1.0,0.7868663594470046,1.0,0.8054590570719604,0.8064516129032258,0.6994949494949495,1.0,46.155672788619995,True,[],{},16,42,1.0
GBTClassifier,0.8064516129032258,1.0,0.7868663594470046,1.0,0.8054590570719604,0.8064516129032258,0.6994949494949495,1.0,41.23611879348755,True,[],{},12,42,1.0
RandomForestClassifier,0.8064516129032258,0.9754601226993865,0.7791056869397883,0.9751826905201137,0.8191457586618877,0.8064516129032259,0.6830808080808081,0.9520063839489283,70.69014143943787,True,"['maxDepth : [5, 10, 15]', 'numTrees : [20, 50, 100]']","{'maxDepth': 5, 'numTrees': 100}",24,42,9.0
GBTClassifier,0.7903225806451613,1.0,0.7790496011099548,1.0,0.7803210614270523,0.7903225806451613,0.7045454545454545,1.0,42.38579487800598,True,[],{},20,42,1.0
LinearSVC,0.7741935483870968,0.8895705521472392,0.7741935483870968,0.8944229627487098,0.7741935483870968,0.7741935483870968,0.7260101010101011,0.8869129046967624,156.7633581161499,True,"['regParam : [0.0, 0.05, 0.1, 0.2]']",{'regParam': 0.05},24,42,4.0
GBTClassifier,0.7580645161290323,1.0,0.7510553962166865,1.0,0.7479752916952642,0.7580645161290323,0.6818181818181818,1.0,42.583672523498535,True,[],{},24,42,1.0
